Column1;Column2
beautiful;90
 interesting;87
 nice;66
 much;64
 great;55
 early;49
 amazing;49
 huge;45
 sure;36
 historical;35
 large;30
 many;30
 first;29
 wonderful;27
 impressive;25
 big;24
 good;22
 whole;21
 old;19
 worth;18
 historic;14
 only;13
 fantastic;12
 incredible;11
 busy;10
 fabulous;10
 vast;9
 lovely;9
 favorite;9
 fascinating;9
 massive;8
 grand;8
 magnificent;8
